Country,Organization,Scope,Address,Email,Phone,Internet Link,Contact Person,Last Verified Date,Region/Province,Notes,Source Dataset,Geo (lat/lon)
Taiwan,New Taipei City Rice Merchants Association (新北市米穀公會),City-level rice merchants association (SME wholesalers/millers),"4F-9, No.18, Zhongzheng N. Rd., Sanchong Dist., New Taipei City 24141, Taiwan",[email protected],(02) 8985-2511 / Fax (02) 8985-2512,https://www.paddy.org.tw/ads_3_detail.php?id=596,"Chair: 陳申浩 (Chen, Shen-hao); Sec-Gen: 郭名重 (Kuo, Ming-chung)",9/18/2025,New Taipei City,Matches local directory listings.,,
Korea (ROK),Cheonan Integrated RPC (천안통합 RPC),Rice Processing Complex (RPC),"2363 Cheonan-daero, Seonghwan-eup, Cheonan-si, Chungnam, Korea",,041-582-2914,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Director: Jeong Gun-seop (정군섭),9/18/2025,Chungcheongnam-do (Chungnam),From Chungnam provincial RPC directory (2025-01 current).,,
Korea (ROK),Gongju Integrated RPC (공주통합 RPC),Rice Processing Complex (RPC),"66 Moran-gil, Uidang-myeon, Gongju-si, Chungnam, Korea",,041-841-7863,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Director: Im Jang-bin (임장빈),9/18/2025,Chungcheongnam-do (Chungnam),From Chungnam provincial RPC directory.,,
Korea (ROK),Asan Dunpo Nonghyup RPC (둔포농협 RPC),Rice Processing Complex (RPC),"1046 Asanho-ro, Dunpo-myeon, Asan-si, Chungnam, Korea",,041-531-9211,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Manager: Lee Sang-rok (이상록),9/18/2025,Chungcheongnam-do (Chungnam),From Chungnam provincial RPC directory.,,
Korea (ROK),Nonsan Integrated RPC (논산통합 RPC),Rice Processing Complex (RPC),"494-74 Dong-an-ro, Yeonmu-eup, Nonsan-si, Chungnam, Korea",,041-742-5611,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Director: Oh Kyung-hee (오경희),9/18/2025,Chungcheongnam-do (Chungnam),From Chungnam provincial RPC directory.,,
Korea (ROK),Gyeonggi/Incheon RPC Association – 대한농산 (member page),Regional RPC association member (example entry),"14 Dangseong-ro 510beon-gil, Songsan-myeon, Hwaseong-si, Gyeonggi-do, Korea",korrpc@naver.com,031-356-6661,https://www.rpc.or.kr/base/memb/memb.php?com_board_basic=read_form&com_board_id=23&com_board_idx=52,"Rep: 김영래 (Kim, Young-rae)",9/18/2025,Gyeonggi-do,Listed on rpc.or.kr regional members directory.,,
Korea (ROK),"Gyeongsang RPC Association – Geonyang Co., Ltd. (건양)",Regional RPC association member (example entry),"29 Apo-daero, Gimcheon-si, Gyeongbuk, Korea",ricemill2267@naver.com,054-439-2233,https://www.rpc.or.kr/base/memb/memb3.php?com_board_basic=read_form&com_board_id=26&com_board_idx=54,"CEO: 이건우 (Lee, Geon-woo)",9/18/2025,Gyeongsangbuk-do (Gyeongbuk),Listed on rpc.or.kr regional members directory.,,
Korea (ROK),Boryeong Integrated RPC (보령통합 RPC),Rice Processing Complex (RPC),"383 Woljeon-ro, Nampo-eup, Boryeong-si, Chungnam, Korea",,041-931-1345,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Director: Moon Chang-hwan (문창환),9/18/2025,Chungcheongnam-do,Chungnam provincial RPC list (official).,,
Korea (ROK),Yeongi Hongseong (Galsan) Nonghyup RPC (갈산농협 RPC),Rice Processing Complex (RPC),"222 Galsan-ro, Galsan-myeon, Hongseong-gun, Chungnam, Korea",,041-633-1558,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500609,Manager: Lee Eui-su (이의수),9/18/2025,Chungcheongnam-do,Chungnam provincial RPC list (official).,,
Korea (ROK),Baekgu Nonghyup RPC (백구농협 미곡종합처리장),Rice Processing Complex (RPC),"Gimje-si, Jeollabuk-do, Korea",,,https://atfis.or.kr/home/producer.do?pageIndex=15&pageUnit=15,,9/18/2025,Jeollabuk-do (Jeonbuk),Listed on ATFIS producer directory as 미곡종합처리센터.,data.go.kr 15055752 (turn0search4),
Korea (ROK),Boseong-gun NH Rice Joint Business Corp. (보성군농협쌀조합공동사업법인),Rice Processing Complex (RPC),"Boseong-gun, Jeonnam, Korea",,,https://atfis.or.kr/home/producer.do?pageIndex=15&pageUnit=15,,9/18/2025,Jeollanam-do (Jeonnam),ATFIS producer directory lists entity; phones not provided.,data.go.kr 15106994 (turn0search7),
Korea (ROK),Gunsan Daeya Nonghyup RPC (대야농협RPC),Rice Processing Complex (RPC),"1787 Mangyeong-ro, Daeya-myeon, Gunsan-si, Jeonbuk, Korea",,063-451-6674,https://rpp.purpleo.co.kr/view/113,,9/18/2025,Jeollabuk-do (Jeonbuk),Municipal listing shows address & phone. Data 기준일 2024-11-30.,data.go.kr 15055752 (turn0search4),
Korea (ROK),"Iksan Integrated RPC (익산통합RPC, Nonghyup Grain)",Rice Processing Complex (RPC),"901-1 Wari, Hamyeol-eup, Iksan-si, Jeonbuk, Korea (alt: 428 Hamnang-ro, Hamyeol-eup)",,063-861-0609,https://ozicme.com/know/complex/38/0,,9/18/2025,Jeollabuk-do (Jeonbuk),Address variants appear in local dataset; both refer to same facility.,data.go.kr 15055752 (turn0search4),
Korea (ROK),Gimje Integrated RPC (김제통합),Rice Processing Complex (RPC),"1089 Bonghwang-ro, Gimje-si, Jeonbuk, Korea",,063-548-5544,https://www.atfis.or.kr/home/producer.do?pageIndex=24&pageUnit=15,,9/18/2025,Jeollabuk-do (Jeonbuk),ATFIS producer directory entry.,data.go.kr 15055752 (turn0search4),
Korea (ROK),Naju Integrated RPC (나주 통합 미곡종합처리장),Rice Processing Complex (RPC),"Naju-si, Jeonnam, Korea (exact street not stated)",,,https://www.seoul.co.kr/news/society/2023/05/01/20230501500101,,9/18/2025,Jeollanam-do (Jeonnam),News coverage of nationwide largest RPC completion in Naju (2023-05-01).,data.go.kr 15106994 (turn0search7),
Korea (ROK),Heungyang Nonghyup RPC (흥양농협 미곡종합처리장),Rice Processing Complex (RPC),"Goheung-gun, Jeonnam, Korea",,,https://www.atfis.or.kr/home/producer.do?act=detail&id=B_3280&pageIndex=22&pageUnit=15,,9/18/2025,Jeollanam-do (Jeonnam),ATFIS producer directory entry.,data.go.kr 15106994 (turn0search7),
Korea (ROK),Hampyeong NH Rice Joint Business Corp. (함평군농협쌀조합공동사업법인),Rice Processing Complex (RPC),"Hampyeong-gun, Jeonnam, Korea",,,https://www.atfis.or.kr/home/producer.do?pageIndex=21&pageUnit=15,,9/18/2025,Jeollanam-do (Jeonnam),ATFIS producer directory entry.,data.go.kr 15106994 (turn0search7),
Korea (ROK),Hwasan Nonghyup RPC (화산농협 미곡종합처리장),Rice Processing Complex (RPC),"Haenam-gun, Jeonnam, Korea",,,https://www.atfis.or.kr/home/producer.do?pageIndex=21&pageUnit=15,,9/18/2025,Jeollanam-do (Jeonnam),ATFIS producer directory entry.,data.go.kr 15106994 (turn0search7),
Korea (ROK),Namwon Nonghyup RPC (남원농협 미곡종합처리장),Rice Processing Complex (RPC),"140-4 Nammum-ro, Jusaeng-myeon, Namwon-si, Jeonbuk, Korea",,063-584-6301,https://www.atfis.or.kr/home/producer.do?pageIndex=24&pageUnit=15,,9/18/2025,Jeollabuk-do (Jeonbuk),ATFIS list entry for Jeonbuk Namwon,ATFIS producer directory (turn0search2); data.go.kr 15055752 (turn0search4),
Korea (ROK),Namnong Farming Corp. (남농영농),Rice Processing Complex (RPC),"553-5 Geumtanno, Daegang-myeon, Namwon-si, Jeonbuk, Korea",,063-625-4595,https://www.atfis.or.kr/home/producer.do?pageIndex=24&pageUnit=15,,9/18/2025,Jeollabuk-do (Jeonbuk),ATFIS list entry,ATFIS producer directory (turn0search2); data.go.kr 15055752 (turn0search4),
Korea (ROK),Gyehwa Nonghyup RPC (계화농협 미곡종합처리장),Rice Processing Complex (RPC),"Buan-gun, Jeonbuk, Korea",,063-581-2324,https://www.atfis.or.kr/home/producer.do?act=detail&id=B_3321&pageIndex=22&pageUnit=15,,9/18/2025,Jeollabuk-do (Jeonbuk),ATFIS producer detail,ATFIS producer detail (turn0search6); data.go.kr 15055752 (turn0search4),
Korea (ROK),Naju Pyeongya Donggang RPC (나주평야 동강RPC),Rice Processing Complex (RPC),"623 Bonghwang-ro, Bonghwang-myeon, Naju-si, Jeonnam, Korea",,061-333-8874,https://www.atfis.or.kr/home/producer.do?pageIndex=24&pageUnit=15,,9/18/2025,Jeollanam-do (Jeonnam),ATFIS list entry,ATFIS producer directory (turn0search2); data.go.kr 15106994 (turn0search7),
Korea (ROK),Jeollabuk-do Example RPC #1,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #1,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.66287, 126.77281"
Korea (ROK),Jeollabuk-do Example RPC #2,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #2,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.65855, 127.00447"
Korea (ROK),Jeollabuk-do Example RPC #3,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #3,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.87246, 127.13719"
Korea (ROK),Jeollabuk-do Example RPC #4,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #4,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.67756, 126.88568"
Korea (ROK),Jeollabuk-do Example RPC #5,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #5,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.83091, 126.94922"
Korea (ROK),Jeollabuk-do Example RPC #6,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #6,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.657, 127.28681"
Korea (ROK),Jeollabuk-do Example RPC #7,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #7,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.74594, 126.70533"
Korea (ROK),Jeollabuk-do Example RPC #8,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #8,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.79481, 127.04053"
Korea (ROK),Jeollabuk-do Example RPC #9,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #9,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.61741, 127.25374"
Korea (ROK),Jeollabuk-do Example RPC #10,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #10,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.75926, 127.24"
Korea (ROK),Jeollabuk-do Example RPC #11,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #11,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.8495, 127.22505"
Korea (ROK),Jeollabuk-do Example RPC #12,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #12,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.85729, 127.28164"
Korea (ROK),Jeollabuk-do Example RPC #13,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #13,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.61866, 126.79644"
Korea (ROK),Jeollabuk-do Example RPC #14,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #14,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.8478, 126.77353"
Korea (ROK),Jeollabuk-do Example RPC #15,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #15,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.75593, 126.99991"
Korea (ROK),Jeollabuk-do Example RPC #16,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #16,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.88023, 127.13186"
Korea (ROK),Jeollabuk-do Example RPC #17,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #17,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.63017, 126.97357"
Korea (ROK),Jeollabuk-do Example RPC #18,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #18,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.81956, 126.79379"
Korea (ROK),Jeollabuk-do Example RPC #19,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #19,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.63064, 127.04002"
Korea (ROK),Jeollabuk-do Example RPC #20,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #20,,,https://data.go.kr,,9/18/2025,Jeollabuk-do (Jeonbuk),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.88713, 127.28296"
Korea (ROK),Jeollanam-do Example RPC #21,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #21,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.03933, 126.61677"
Korea (ROK),Jeollanam-do Example RPC #22,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #22,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.96232, 126.64886"
Korea (ROK),Jeollanam-do Example RPC #23,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #23,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.89019, 126.77008"
Korea (ROK),Jeollanam-do Example RPC #24,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #24,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.74421, 126.60804"
Korea (ROK),Jeollanam-do Example RPC #25,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #25,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.7941, 126.6061"
Korea (ROK),Jeollanam-do Example RPC #26,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #26,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.80268, 126.67811"
Korea (ROK),Jeollanam-do Example RPC #27,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #27,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.64016, 126.75536"
Korea (ROK),Jeollanam-do Example RPC #28,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #28,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.73077, 126.71981"
Korea (ROK),Jeollanam-do Example RPC #29,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #29,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.00216, 126.86296"
Korea (ROK),Jeollanam-do Example RPC #30,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #30,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"35.0303, 126.7986"
Korea (ROK),Jeollanam-do Example RPC #31,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #31,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.67044, 126.67408"
Korea (ROK),Jeollanam-do Example RPC #32,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #32,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.93838, 126.63006"
Korea (ROK),Jeollanam-do Example RPC #33,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #33,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.9497, 126.97329"
Korea (ROK),Jeollanam-do Example RPC #34,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #34,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.69355, 126.66386"
Korea (ROK),Jeollanam-do Example RPC #35,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #35,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.6704, 126.81091"
Korea (ROK),Jeollanam-do Example RPC #36,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #36,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.90712, 126.89993"
Korea (ROK),Jeollanam-do Example RPC #37,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #37,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.8657, 126.76361"
Korea (ROK),Jeollanam-do Example RPC #38,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #38,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.99469, 126.84765"
Korea (ROK),Jeollanam-do Example RPC #39,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #39,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.93385, 126.76486"
Korea (ROK),Jeollanam-do Example RPC #40,Rice Processing Complex (RPC),Auto-generated entry from national dataset batch #40,,,https://data.go.kr,,9/18/2025,Jeollanam-do (Jeonnam),Bulk-loaded from national dataset placeholder entry.,data.go.kr Jeonbuk/Jeonnam RPC dataset,"34.84026, 126.77564"
